sample	libsize_75percent
SRR1088808.all	290884.0
SRR1088832.all	304882.0
SRR1088856.all	207269.5
SRR1088878.all	125595.0
SRR1088904.all	283703.75
SRR1088934.all	258158.75
SRR1088958.all	216528.25
SRR1088982.all	202507.5
SRR1089006.all	212363.0
SRR1089030.all	175243.5
SRR1089054.all	208867.75
SRR1089078.all	222139.75
SRR1089106.all	244712.25
SRR1089134.all	253438.5
SRR1089158.all	379915.0
SRR1089183.all	222577.5
SRR1089207.all	212926.75
SRR1089230.all	212518.25
SRR1089349.all	184567.25
SRR1089375.all	169505.25
SRR1089399.all	71890.0
SRR1089424.all	164626.75
SRR1089446.all	153502.25
SRR1089479.all	192412.75
SRR1089504.all	287630.0
SRR1089537.all	115451.5
SRR1089562.all	264748.75
SRR1089595.all	231643.75
SRR1089619.all	270651.25
SRR1089643.all	264865.5
SRR1089664.all	169817.5
SRR1089688.all	130354.75
SRR1089713.all	174710.25
SRR1089737.all	165453.75
SRR1089761.all	190199.75
SRR1089785.all	232045.5
SRR1089809.all	270040.0
SRR1089833.all	241407.25
SRR1089853.all	221209.75
SRR1089877.all	204943.75
SRR1089901.all	219221.25
SRR1089926.all	277579.5
SRR1089950.all	264939.5
SRR1089974.all	204705.0
SRR1089998.all	232449.0
SRR1090022.all	251970.5
SRR1090046.all	238263.75
SRR1090070.all	268152.75
SRR1090095.all	131621.25
SRR1090119.all	178642.75
SRR1090145.all	206764.75
SRR1090167.all	324056.25
SRR1090193.all	220254.25
SRR1090217.all	199392.25
SRR1090241.all	230630.25
SRR1090265.all	164416.5
SRR1090290.all	210083.75
SRR1090310.all	202503.5
SRR1090334.all	271102.5
SRR1090359.all	221200.5
SRR1090383.all	216484.25
SRR1090407.all	244823.25
SRR1090431.all	170411.5
SRR1090457.all	228151.5
SRR1090483.all	202748.25
SRR1090508.all	56677.0
SRR1090530.all	183710.75
SRR1090556.all	128726.25
SRR1090580.all	228859.0
SRR1090604.all	287732.75
SRR1090626.all	223552.75
SRR1090650.all	270945.5
SRR1090674.all	197790.25
SRR1090698.all	267358.25
SRR1090722.all	271628.75
SRR1090746.all	241414.25
SRR1090770.all	199486.5
SRR1090791.all	324055.5
SRR1090815.all	256481.75
SRR1090837.all	205676.5
SRR1090861.all	221161.5
SRR1090881.all	176017.5
SRR1090907.all	114941.5
SRR1090928.all	221337.5
SRR1090952.all	259310.25
SRR1090984.all	210601.5
SRR1091008.all	322470.75
SRR1091032.all	119087.75
SRR1091054.all	211804.75
SRR1091097.all	277344.75
SRR1091119.all	325229.25
SRR1091144.all	93258.0
SRR1091164.all	245864.75
SRR1091184.all	265486.0
SRR1091206.all	201235.25
SRR1091230.all	207314.75
SRR1091254.all	170825.5
SRR1091278.all	237843.25
SRR1091302.all	178119.5
SRR1091328.all	184012.75
SRR1091356.all	213653.0
SRR1091380.all	172684.0
SRR1091404.all	223929.75
SRR1091428.all	147917.5
SRR1091452.all	103748.5
SRR1091476.all	224825.25
SRR1091500.all	231379.75
SRR1091524.all	191443.0
SRR1091548.all	171959.0
SRR1091572.all	294241.75
SRR1091597.all	235151.25
SRR1091622.all	226399.75
SRR1091645.all	283605.75
SRR1091670.all	377925.25
SRR1091695.all	272141.0
SRR1091719.all	326657.0
SRR1091743.all	205890.0
SRR1091767.all	241272.0
SRR1091791.all	194940.75
SRR1091817.all	44193.75
SRR1091841.all	240887.0
SRR1091865.all	171401.75
SRR1091890.all	230576.75
SRR1091918.all	207769.0
SRR1091942.all	201764.0
SRR1091966.all	250711.0
SRR1091990.all	179451.5
SRR1092014.all	288132.25
SRR1092038.all	276355.5
SRR1092062.all	298625.75
SRR1092087.all	329397.0
SRR1092112.all	239661.5
SRR1092160.all	199375.75
SRR1092184.all	163022.75
SRR1092208.all	221571.0
SRR1092232.all	321123.5
SRR1092257.all	193732.0
SRR1092281.all	143605.0
SRR1092305.all	207175.25
SRR1092329.all	250122.0
SRR1092349.all	98319.0
SRR1092372.all	283819.0
SRR1092397.all	261713.75
SRR1092422.all	53012.25
SRR1092444.all	249111.5
SRR1092468.all	300412.5
SRR1092493.all	178141.75
SRR1092517.all	237088.25
SRR1092541.all	78551.25
SRR1092567.all	281475.75
SRR1092591.all	238755.75
SRR1092612.all	257348.0
SRR1092636.all	200113.25
SRR1092662.all	202913.5
SRR1092686.all	237295.75
SRR1092706.all	212484.0
SRR1092727.all	234978.25
SRR1092749.all	236225.75
SRR1092773.all	191593.0
SRR1092797.all	177173.0
SRR1092818.all	192701.5
SRR1092842.all	272908.25
SRR1092865.all	212844.5
SRR1092889.all	160634.0
